BirthYear;Country;Name;Gender;NumberOfName;Order
2021;TÜRKİYE;YUSUF;Erkek;515877;9
2021;TÜRKİYE;İSMAİL;Erkek;450550;10
2021;TÜRKİYE;ÖMER;Erkek;416735;11
2021;TÜRKİYE;RAMAZAN;Erkek;368633;12
2021;TÜRKİYE;OSMAN;Erkek;322435;13
2021;TÜRKİYE;ABDULLAH;Erkek;278924;14
2021;TÜRKİYE;FATİH;Erkek;256997;15
2021;TÜRKİYE;EMRE;Erkek;245855;16
2021;TÜRKİYE;HALİL;Erkek;235330;17
2021;TÜRKİYE;SÜLEYMAN;Erkek;227313;18
2021;TÜRKİYE;HAKAN;Erkek;220774;19
2021;TÜRKİYE;ADEM;Erkek;202033;20
2021;TÜRKİYE;KADİR;Erkek;196350;21
2021;TÜRKİYE;MAHMUT;Erkek;189276;22
2021;TÜRKİYE;MUHAMMED;Erkek;188590;23
2021;TÜRKİYE;FURKAN;Erkek;187405;24
2021;TÜRKİYE;RECEP;Erkek;186800;25
2021;TÜRKİYE;BURAK;Erkek;181601;26
2021;TÜRKİYE;SERKAN;Erkek;176737;27
2021;TÜRKİYE;METİN;Erkek;168573;28
2021;TÜRKİYE;SALİH;Erkek;166095;29
2021;TÜRKİYE;YASİN;Erkek;165723;30
2020;TÜRKİYE;MEHMET;Erkek;1338968;1
2020;TÜRKİYE;MUSTAFA;Erkek;1099032;2
2020;TÜRKİYE;AHMET;Erkek;888930;3
2020;TÜRKİYE;ALİ;Erkek;765432;4
2020;TÜRKİYE;HÜSEYİN;Erkek;601676;5
2020;TÜRKİYE;HASAN;Erkek;559411;6
2020;TÜRKİYE;MURAT;Erkek;533707;7
2020;TÜRKİYE;İBRAHİM;Erkek;519766;8
2020;TÜRKİYE;YUSUF;Erkek;510932;9
2020;TÜRKİYE;İSMAİL;Erkek;454505;10
2020;TÜRKİYE;ÖMER;Erkek;414099;11
2020;TÜRKİYE;RAMAZAN;Erkek;370416;12
2020;TÜRKİYE;OSMAN;Erkek;325172;13
2020;TÜRKİYE;ABDULLAH;Erkek;278755;14
2020;TÜRKİYE;FATİH;Erkek;256538;15
2020;TÜRKİYE;EMRE;Erkek;245152;16
2020;TÜRKİYE;HALİL;Erkek;237299;17
2020;TÜRKİYE;SÜLEYMAN;Erkek;229490;18
2020;TÜRKİYE;HAKAN;Erkek;220636;19
2020;TÜRKİYE;ADEM;Erkek;201687;20
2020;TÜRKİYE;KADİR;Erkek;197087;21
2020;TÜRKİYE;MAHMUT;Erkek;190410;22
2020;TÜRKİYE;RECEP;Erkek;188540;23
2020;TÜRKİYE;FURKAN;Erkek;185518;24
2020;TÜRKİYE;MUHAMMED;Erkek;182477;25
2020;TÜRKİYE;BURAK;Erkek;180058;26
2020;TÜRKİYE;SERKAN;Erkek;176880;27
2020;TÜRKİYE;METİN;Erkek;169301;28
2020;TÜRKİYE;SALİH;Erkek;166931;29
2020;TÜRKİYE;YASİN;Erkek;164905;30
2019;TÜRKİYE;MEHMET;Erkek;1352726;1
2019;TÜRKİYE;MUSTAFA;Erkek;1106690;2
2019;TÜRKİYE;AHMET;Erkek;895028;3
2019;TÜRKİYE;ALİ;Erkek;770805;4
2019;TÜRKİYE;HÜSEYİN;Erkek;607525;5
2019;TÜRKİYE;HASAN;Erkek;565133;6
2019;TÜRKİYE;MURAT;Erkek;534060;7
2019;TÜRKİYE;İBRAHİM;Erkek;522279;8
2019;TÜRKİYE;YUSUF;Erkek;505508;9
2019;TÜRKİYE;İSMAİL;Erkek;458083;10
2019;TÜRKİYE;ÖMER;Erkek;411146;11
2019;TÜRKİYE;RAMAZAN;Erkek;372234;12
2019;TÜRKİYE;OSMAN;Erkek;328074;13
2019;TÜRKİYE;ABDULLAH;Erkek;279339;14
2019;TÜRKİYE;FATİH;Erkek;255797;15
2019;TÜRKİYE;EMRE;Erkek;244117;16
2019;TÜRKİYE;HALİL;Erkek;239398;17
2019;TÜRKİYE;SÜLEYMAN;Erkek;231550;18
2019;TÜRKİYE;HAKAN;Erkek;220256;19
2019;TÜRKİYE;ADEM;Erkek;201326;20
2019;TÜRKİYE;KADİR;Erkek;197746;21
2019;TÜRKİYE;MAHMUT;Erkek;191625;22
2019;TÜRKİYE;RECEP;Erkek;190104;23
2019;TÜRKİYE;FURKAN;Erkek;183573;24
2019;TÜRKİYE;BURAK;Erkek;178222;25
2019;TÜRKİYE;MUHAMMED;Erkek;177105;26
2019;TÜRKİYE;SERKAN;Erkek;176738;27
2019;TÜRKİYE;METİN;Erkek;169955;28
2019;TÜRKİYE;SALİH;Erkek;167675;29
2019;TÜRKİYE;YASİN;Erkek;163756;30
2018;TÜRKİYE;MEHMET;Erkek;1361958;1
2018;TÜRKİYE;MUSTAFA;Erkek;1110192;2
2018;TÜRKİYE;AHMET;Erkek;897908;3
2018;TÜRKİYE;ALİ;Erkek;773551;4
2018;TÜRKİYE;HÜSEYİN;Erkek;611242;5
2018;TÜRKİYE;HASAN;Erkek;568459;6
